Name,Price,Link
Asus Zenfone 11 Ultra,"KSh128,000–KSh145,000Price range: KSh 128,000 through KSh 145,000",https://www.phoneplacekenya.com/product/asus-zenfone-11-ultra/
Asus ROG Phone 8 Pro,"KSh137,000–KSh208,000Price range: KSh 137,000 through KSh 208,000",https://www.phoneplacekenya.com/product/asus-rog-phone-8-pro/
Xiaomi POCO F6 Pro,"KSh55,000Original price was: KSh 55,000.KSh49,500Current price is: KSh 49,500.",https://www.phoneplacekenya.com/product/xiaomi-poco-f6-pro/
Asus ROG Phone 8,"KSh102,000–KSh148,000Price range: KSh 102,000 through KSh 148,000",https://www.phoneplacekenya.com/product/asus-rog-phone-8/
Asus Zenfone 10,"KSh117,500–KSh138,500Price range: KSh 117,500 through KSh 138,500",https://www.phoneplacekenya.com/product/asus-zenfone-10/
Asus ROG Phone 7,"KSh138,000–KSh160,000Price range: KSh 138,000 through KSh 160,000",https://www.phoneplacekenya.com/product/asus-rog-phone-7/
Itel 2160,"KSh2,500Original price was: KSh 2,500.KSh2,000Current price is: KSh 2,000.",https://www.phoneplacekenya.com/product/itel-2160/
Itel 2163,"KSh2,400",https://www.phoneplacekenya.com/product/itel-2163/
Apple iPhone 15,"KSh81,500–KSh99,000Price range: KSh 81,500 through KSh 99,000",https://www.phoneplacekenya.com/product/apple-iphone-15/
Apple iPhone 15 Plus,"KSh95,000–KSh109,000Price range: KSh 95,000 through KSh 109,000",https://www.phoneplacekenya.com/product/apple-iphone-15-plus/
Apple iPhone 15 Pro,"KSh93,000Original price was: KSh 93,000.KSh86,000Current price is: KSh 86,000.",https://www.phoneplacekenya.com/product/apple-iphone-15-pro/
Apple iPhone 15 Pro Max,"KSh97,000Original price was: KSh 97,000.KSh94,000Current price is: KSh 94,000.",https://www.phoneplacekenya.com/product/apple-iphone-15-pro-max/
Samsung Galaxy F04,"KSh14,000Original price was: KSh 14,000.KSh13,500Current price is: KSh 13,500.",https://www.phoneplacekenya.com/product/samsung-galaxy-f04/
Google Pixel 8 Pro,"KSh67,000Original price was: KSh 67,000.KSh61,000Current price is: KSh 61,000.",https://www.phoneplacekenya.com/product/google-pixel-8-pro/
Google Pixel 8,"KSh61,000Original price was: KSh 61,000.KSh57,500Current price is: KSh 57,500.",https://www.phoneplacekenya.com/product/google-pixel-8/
Nothing Phone 2,"KSh68,000",https://www.phoneplacekenya.com/product/nothing-phone-2/
Google Pixel 7 Pro,"KSh53,500Original price was: KSh 53,500.KSh46,000Current price is: KSh 46,000.",https://www.phoneplacekenya.com/product/google-pixel-7-pro/
Google Pixel 7,"KSh48,500Original price was: KSh 48,500.KSh36,500Current price is: KSh 36,500.",https://www.phoneplacekenya.com/product/google-pixel-7/
Samsung Galaxy M04,"KSh14,500",https://www.phoneplacekenya.com/product/samsung-galaxy-m04/
Apple iPhone 14 Pro Max,"KSh83,000Original price was: KSh 83,000.KSh76,000Current price is: KSh 76,000.",https://www.phoneplacekenya.com/product/apple-iphone-14-pro-max/
Apple iPhone 14 Pro,"KSh78,000Original price was: KSh 78,000.KSh70,000Current price is: KSh 70,000.",https://www.phoneplacekenya.com/product/apple-iphone-14-pro/
Apple iPhone 14,"KSh52,000–KSh57,000Price range: KSh 52,000 through KSh 57,000",https://www.phoneplacekenya.com/product/apple-iphone-14/
Apple iPhone 13 Pro Max,"KSh70,000Original price was: KSh 70,000.KSh66,000Current price is: KSh 66,000.",https://www.phoneplacekenya.com/product/apple-iphone-13-pro-max/
No Name,No Price,No Link
No Name,No Price,No Link
No Name,No Price,No Link
Apple iPhone 13 Pro,"KSh64,500Original price was: KSh 64,500.KSh60,000Current price is: KSh 60,000.",https://www.phoneplacekenya.com/product/apple-iphone-13-pro/
Apple iPhone 13,"KSh51,000Original price was: KSh 51,000.KSh47,000Current price is: KSh 47,000.",https://www.phoneplacekenya.com/product/apple-iphone-13/
